169,0,177,32
85,30,353,27
4,59,116,34
60,93,62,27
134,60,114,34
134,91,57,27
265,62,114,33
264,94,59,28
395,62,112,32
450,91,58,29
4,150,115,34
7,181,53,24
133,154,116,34
133,182,60,31
266,152,108,35
321,184,58,31
396,153,116,36
392,185,59,31
2,245,116,38
4,282,61,31
132,244,117,36
193,278,58,33
264,245,114,36
263,278,56,30
393,243,115,38
393,281,82,27
5,338,113,36
3,374,61,25
132,336,114,35
132,368,63,22
262,334,117,39
262,371,64,26
393,334,116,36
394,367,58,24
3,428,119,37
62,461,56,19
133,426,118,38
133,459,61,24
263,429,116,36
296,460,82,23
392,427,119,32
394,457,86,40
