81,7,357,62
226,87,73,14
15,76,33,33
19,112,22,17
21,128,18,19
22,147,16,15
22,165,15,16
21,183,20,16
21,200,18,17
22,218,18,14
20,234,19,17
18,253,22,15
22,267,19,19
20,283,21,20
21,303,19,17
21,323,18,13
20,341,20,13
20,358,20,14
21,373,18,20
20,391,20,17
21,407,17,17
22,424,18,18
19,443,22,16
13,462,35,31
48,254,62,59
117,110,124,21
110,143,135,26
129,184,99,15
150,205,53,22
138,247,81,22
142,283,70,20
126,303,96,18
128,321,99,19
132,338,94,18
133,372,90,23
114,424,125,21
248,270,70,29
345,114,139,15
353,138,113,36
352,183,120,15
353,207,116,22
338,244,143,33
325,287,168,18
334,305,155,17
341,320,141,19
348,338,127,22
349,363,129,40
339,413,142,48
48,462,446,33
